velocity	Pressure(Pa)
0	15300.075
2.093084541	15097.425
6.279253502	14692.125
8.372337922	14489.475
10.46542246	14286.825
12.558507	14084.175
14.65159142	13881.525
16.74467597	13678.875
20.93084493	13273.575
23.02392935	13070.925
25.11701389	12868.275
29.30318285	12462.975
31.39626739	12260.325
33.48935181	12057.675
37.67552089	11652.375
41.86168985	11247.075
43.95477427	11044.425
46.04785881	10841.775
48.14094323	10639.125
50.23402777	10436.475
52.32711232	10233.825
54.42019674	10031.175
56.51328128	9828.525
58.6063657	9625.875
62.79253478	9220.575
64.8856192	9017.925
66.97870374	8815.275
69.07178816	8612.625
71.1648727	8409.975
73.25795712	8207.325
75.35104166	8004.675
77.4441262	7802.025
81.63029516	7396.725
83.72337958	8004.675
85.81646412	9017.925
87.90954867	8815.275
90.00263309	8511.3
92.09571763	8207.325
94.18880205	7802.025
96.28188659	7396.725
100.4680555	6586.125
102.5611401	6079.5
104.6542245	5572.875
106.7473091	4964.925
108.8403935	4458.3
115.119647	2634.45
117.2127315	2026.5
119.3058159	1418.55
121.3989005	810.6
123.4919849	0
